Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Harri Holkeri	Harri Holkeri,Eric Holder,Gary Locke,Hans Hillen,Patrick Hillery,Harrison Ford,Jerry Weller,Cory Booker,Olene Walker,Charlie Baker,Nancy Pelosi,Hanno Pevkur,Tim Holden,Mark Warner,Dean Heller,Pedro Solbes,Mario Blejer,Werner Hoyer,Patrick Ollier,Gabi Zimmer,Erwin Huber,Steny Hoyer,Norbert Hofer,Napoleon,Maurizio Lupi,Henrik,Marion Barry,Pierre Werner,Per Unckel,Mark Kirk,Bram Peper,Mart Laar,Jerry Moran,Greg Walden,Dale Bumpers,Mark Rutte,Norm Coleman,Mary Fallin,Siiri Oviir,Walter Momper,Arnold Koller,Tzipi Livni,Marek Jurek,Claudia Nolte,Hugo Banzer,David Vitter,Taro Kono,Howard Coble,Helen Clark,Danny Pieters
Amitabh Bachchan	Amitabh Bachchan,Pat Buchanan,Amanullah Khan,Vern Buchanan,Vijay Bahuguna,Aamir Khan,Yahya Khan,Thad Cochran,Deutsche Bahn,Lithuania,The Bahamas,Salman Khan,Anson Chan,Anand Satyanand,Anil Kakodkar,Rick Boucher,Afghanistan,Abu Darda,Dan Tichon,Yash Ghai,Amartya Sen,Andrew Robathan,Arne Duncan,Emmanuel Macron,Wangari Maathai,South Sudan,Ana Palacio,Ashraf Ghani,Steve Rothman,Viktor Basargin,Alain Madelin,Christoph Blocher,Vitaly Churkin,Mel Carnahan,Elizabeth II,Anwar Sadat,Meir Dagan,Aosta Valley,Shintaro Ishihara,Mehdi Bazargan,Matti Vanhanen,Mitch Landrieu,Alfredo Barnechea,Murtaza Rakhimov,Jane Harman,Piet Bukman,Edelgard Bulmahn,Okiharu Yasuoka,Chiang Kai-shek,United Russia
Gennady Nikolayevich Troshev	Gennady Troshev,Nikolai Patrushev,Sergey Mikhaylovich Ignatyev,Nikolai Levichev,Nikolay Dobrev,Vladimir Anatolyevich Yakovlev,Vladimir Georgiyevich Titov,Hennadiy Udovenko,Mikhail Gorbachev,George Radanovich,Nicolae Timofti,George Voinovich,Danny Pieters,Tanya Plibersek,Juan Almeida Bosque,Leonid Kravchuk,Wayne Gilchrest,General Electric,Henry McLeish,Ginny Brown-Waite,Tony Blair,Yevgeny Primakov,T. Michael Moseley,Petro Poroshenko,Mintimer Shaimiev,Sergey Gaplikov,R. Nicholas Burns,Rosen Plevneliev,Arkady Rotenberg,Vladimir Kozhin,William Cohen,Vladimir Yegorov,Fernando Flores,Pavel Grachev,Fernando Lorenzo,Heinz Fischer,Leonid Kozhara,Sergey Aksyonov,Valentin Yumashev,Arnold Koller,Gary Locke,Oleg Belaventsev,Geoff Davis,Bill Richardson,Joseph Prueher,Vladimir Yevtushenkov,Werner Hoyer,Georgi Pirinski Jr.,Ernie Fletcher,Mauno Koivisto
Lars Barfoed	Lars Barfoed,Mark Warner,Jay Carney,Dan Boren,Amr Waked,Kate Brown,Dan Burton,Lazard,Mark Pryor,Mark Dayton,Hans Hillen,Hans Blix,Els Borst,Jan Pronk,Mart Laar,Mark Binskin,Mario Blejer,Hugo Banzer,Rick Larsen,Celso Lafer,John Warner,Mario Barletta,Jack Markell,Marco Maciel,Marek Jurek,Paul Martin,Mark Rutte,Mark Kirk,Pedro Carmona,Gary Locke,Omar Bongo,Tom Carper,Alain Berset,Luis Cruz,Jack Layton,Jerry Brown,Taro Kono,Port Said,Cory Booker,Marion Barry,Marie Bashir,Yair Lapid,Kit Bond,Jane Harman,Mary Fallin,Mary Landrieu,Ehud Barak,Ian Paisley,Per Unckel,Rick Boucher
Bob Dole	Bob Dole,Bob Taft,Jim Doyle,Google,Ted Poe,Al Gore,Holy See,Bob Graham,Boeing,Don Young,Joe Crowley,Tim Holden,Jim Molan,Robin Cook,Smile,Dan Boren,Tom Udall,Kit Bond,GSK plc,Gabon,Napoleon,Comoros,Ron Wyden,Wim Kok,Israel,Honduras,Portugal,Belgium,Greece,Al Green,Romania,Ukraine,Norm Kelly,Bulgaria,Robin Hayes,Norm Coleman,Tom Steyer,Gary Locke,Rob Andrews,Ed Balls,Port Said,Todd Akin,Le Point,Burundi,EH Bildu,Tony Blair,Bill Young,Wales,Sicily,Sony
Jerry Weller	Jerry Weller,Jerry Lewis,Pierre Werner,Dean Heller,Jerry Brown,Jerry Moran,Bram Peper,Jon Tester,Peter Welch,John Warner,Norm Kelly,Mark Warner,Eric Holder,Greg Walden,Leszek Miller,Sherry Rehman,Pedro Solbes,Mary Fallin,Gerd Leers,Harri Holkeri,Olene Walker,Cory Booker,Fleur Pellerin,Sierra Leone,John Linder,Jay Carney,Mario Blejer,John Boehner,Jorge Illueca,Jim Doyle,George Weah,Arnold Koller,Hans Hillen,Werner Hoyer,Per Unckel,Dave Weldon,Willy Claes,Gary Locke,Redha Malek,Rebiya Kadeer,Celso Lafer,Edwin Feulner,Bernd Lange,Steny Hoyer,Amr Waked,Grace Kelly,Gerrit Zalm,Yuriy Ilyin,Aosta Valley,Tom Carper
Michael Fallon	Michael Fallon,Michael Flynn,Michael E. Ryan,Michael Howard,Mary Fallin,Richard Caborn,Richard Branson,Richard Nixon,Michael Dukakis,Mikhail Margelov,Michel Barnier,Manuel Valls,Richard Bruton,Michel Suleiman,Richard Danzig,Fidel Castro,Mark Dayton,Emmanuel Macron,Michael Bloomberg,Tanja Fajon,Michel Mercier,Michael Ignatieff,T. Michael Moseley,Lionel Bowen,Mike Simpson,Vince Cable,Hillary Clinton,Mike Crapo,Greg Walden,Ahmed Galal,Rick Larsen,Paul Martin,Paul Simon,Jim Saxton,Richard Dannatt,Redha Malek,Mikhail Gorbachev,Jack Layton,Napoleon,Noel Davern,Marat Tajin,Hans Hillen,Aosta Valley,Michel Camdessus,Jacques Delors,Vincent Peillon,Alice Rivlin,Pascal Canfin,Miguel Arraes,Dave Weldon
Vladimir Voronin	Vladimir Voronin,Vladimir Markin,Vladimir Kozhin,Vladimir Yegorov,Javier Solana,Oliver Letwin,Alain Madelin,Daniel Toribio,Tzipi Livni,Aamir Khan,Academia Sinica,Hamid Karzai,Alastair Goodlad,Shulamit Aloni,Ludwik Dorn,Volodymyr Lytvyn,Mintimer Shaimiev,Vlad Filat,Saudi Arabia,Paul Martin,Victor Ponta,David L. Aaron,Valdis Birkavs,Valeriy Horbatov,Mathias Cormann,Jan Pronk,Daniel Scioli,Sanna Marin,Tim Holden,Vladimir Yevtushenkov,James Florio,Sam Johnson,Emma Bonino,Alexandr Vondra,Dipu Moni,Hasmik Poghosyan,Taslima Nasrin,Jim Molan,Kate Brown,Volodymyr Khandohiy,Dan Boren,Omar Bongo,Alain Berset,Idi Amin,Thad Cochran,Yair Lapid,Nancy Pelosi,Tarcisio Bertone,Jair Bolsonaro,Alice Rivlin
Nebojsa Stefanovic	George Radanovich,Viktor Stepanov,Melissa Bean,Janez Stanovnik,George Voinovich,Norodom Sihamoni,Norodom Sihanouk,Corina Casanova,Geoff Davis,Nancy Pelosi,Forza Italia,Boris Nemtsov,Yevgeny Primakov,Ron DeSantis,Joseph Stalin,Neboj%C5%A1a Stefanovi%C4%87,Roberta Pinotti,Neritan Ceka,Port Said,Elena Salgado,Rebecca Harms,Marcus Stephen,Rebiya Kadeer,Tanja Fajon,Antonio Inoki,Yukiya Amano,Theresa May,Catalonia,Theodor Stolojan,Alu Alkhanov,Leon Panetta,Norm Coleman,Ken Starr,Carlos Santana,Sebastian Kurz,Tom Steyer,Donna Shalala,South Sudan,Leonid Gozman,Nicole Ameline,Rosen Plevneliev,Urho Kekkonen,Mikheil Saakashvili,Dmitry Livanov,Andrus Ansip,Nuon Chea,Ivan Safronov,James Langevin,Guusje ter Horst,Javier Solana
Fulgencio Batista	Fulgencio Batista,Fulvio Rossi,Hugo Banzer,Gianni Letta,Mario Barletta,Ignazio Cassis,Francis Maude,Valentin Pavlov,Julie Bishop,Ole von Beust,Eli Suissa,French Navy,Giuliano Amato,Sergio Diez,Pedro Carmona,Jaume Matas,Marco Maciel,Elena Salgado,Alfonso Guerra,Leon Panetta,Alain Berset,Umberto Bossi,Vincenzo Scotti,France Cukjati,Filippo Mancuso,Argentina,Terry Branstad,Susana Martinez,Catherine Tasca,Angelo Scola,Jyoti Basu,Kenji Goto,Tulsi Gabbard,Iliana Iotova,Longin Pastusiak,Albio Sires,Telef%C3%B3nica,Hugo Swire,Puerto Rico,Olene Walker,Boyko Borisov,Rumen Radev,Sheikh Hasina,Paul Biya,Gerrit Braks,Academia Sinica,Valentin Inzko,Kaushik Basu,Lawrence Cannon,Jelko Kacin
Lincoln Chafee	Lincoln Chafee,Anson Chan,Vince Cable,Lionsgate,Nuon Chea,Jason Chaffetz,Holy See,Willy Claes,Lionel Bowen,Bill Gates,Milan Uhde,Arnold Koller,Pascal Canfin,Fidel Castro,Jean Charest,Angela Merkel,Celso Lafer,Fine Gael,Simon Coveney,Nicole Ameline,Lithuania,Lee Kun-hee,JPMorgan Chase,Bill Bradley,Marion Barry,Dick Celeste,Robin Hayes,John Warner,Nigel Evans,Bill Ritter,Duncan Kerr,William Cohen,Nancy Pelosi,Andrew Card,Bob Taft,Salman Khan,Mike Crapo,Raymond Barre,Dick Marty,Lord Chancellor,Rick Larsen,Tony Blair,Steven Chu,John Key,Joachim Gauck,Marco Maciel,Tom Carper,Jon Tester,Leon Panetta,John Linder
Yasuhiro Nakasone	Yasuhiro Nakasone,Hirofumi Nakasone,Urho Kekkonen,Taslima Nasrin,Taro Kono,Yukiya Amano,David Emerson,Makiko Tanaka,Pedro Carmona,Mark Dayton,Jaume Matas,Yury Luzhkov,Richard Branson,Gavin Newsom,Boris Nemtsov,Yash Ghai,Kaushik Basu,Tarcisio Bertone,Yahya Khan,Johnny Isakson,Kakha Kaladze,Aamir Khan,Richard Nixon,Davit Bakradze,Yair Lapid,Javier Solana,Meir Dagan,Poul Nielson,United Nations,Burkina Faso,Saudi Arabia,Lawrence Cannon,Mike Simpson,David Johnston,Mauno Koivisto,Claudio Huepe,Satsuki Eda,Paul Ryan,Mark Warner,Rick Larsen,Michael Fallon,Ali Abbasov,Paulo Maluf,Vladimir Markin,David L. Aaron,Sheikh Hasina,Paul Martin,Rodrigo Rato,Babacar Gaye,Guido Carli
Nikolai Levichev	Nikolai Levichev,Nikolai Patrushev,Nikolay Dobrev,Nicole Ameline,Mikhail Gorbachev,Pavel Grachev,Nicolae Timofti,Sierra Leone,Mikhail Margelov,Tim Fischer,Milan Uhde,William Cohen,Jean-David Levitte,Bogdan Klich,Alain Berset,Eiki Nestor,John Linder,Pio Laghi,Nadiya Savchenko,Monica Lewinsky,Michel Mercier,Bill Ritter,Gianni Letta,Dan Tichon,Roland Koch,Rudolf Seiters,Siiri Oviir,Simon Coveney,Rick Boucher,Carlos Tevez,Eli Lilly,Nuon Chea,Nigel Evans,Viktor Stepanov,Dmitry Livanov,Pavel Astakhov,Oleg Lobov,Igor Klimov,Valentin Yumashev,Ali Abbasov,Boyko Borisov,Vlad Filat,Gennady Troshev,Holy See,Arab League,Oleh Liashko,Kiro Gligorov,Angela Merkel,Andreas Loverdos,Yevgeny Shevchuk
Enda Kenny	Enda Kenny,Norm Kelly,Emma Bonino,John Key,Ed Balls,Edi Rama,Todd Akin,Duncan Kerr,Taro Kono,Eswatini,Grace Kelly,Napoleon,Anna Eshoo,Eli Lilly,Katy Perry,Fidesz,Yahya Khan,Idi Amin,Guyana,Holy See,Israel,Cape Verde,Iran,Romania,Ukraine,Taiwan,Estonia,Spain,EH Bildu,Sardinia,Al Green,Le Point,Eiki Nestor,Sony,Anson Chan,Raymond Kelly,Rein Lang,Madeira,Urho Kekkonen,Mark Kirk,Wales,Paul Ryan,Nancy Pelosi,Andrus Ansip,Sanna Marin,Boeing,Ted Poe,Bill Young,Redha Malek,Tony Blair
Cape Verde	Cape Verde,Greece,Holy See,Katy Perry,Madeira,Napoleon,Dave Weldon,Cantabria,Iceland,Abu Darda,Lazard,Madrid,Paul Reeves,Jay Carney,Kate Brown,Mark Kirk,Bruce George,Gary Locke,Jack Lew,Grace Kelly,Marek Jurek,Mark Rutte,Dan Boren,Al Gore,Mark Warner,Candice Bergen,Alain Berset,Sonny Perdue,Arab League,Nauru,Senegal,Jane Harman,Wales,Chaim Herzog,Port Said,Le Point,Catalonia,Angela Merkel,Honduras,Mauritania,EH Bildu,Kongsberg,Comoros,Argentina,Spain,Vietnam,Mozambique,Meretz,Tatars,Belgium
Ricardo Rosselló	Ricardo Rossell%C3%B3,Marco Maciel,Richard Branson,Rick Larsen,Fulvio Rossi,Richard Danzig,Raymond Kelly,Richard Caborn,Richard Nixon,Richard Bruton,Richard Ottaway,Umberto Bossi,Richard Dannatt,Howard Coble,Renaud Dutreil,Richard Holbrooke,Andrew Powell,Mario Blejer,Carlos Slim,Connie Morella,Fernando Lorenzo,Pedro Solbes,Mario Barletta,Vittorio Grilli,Gary Locke,Rick Boucher,Jack Markell,Karim Massimov,Rand Paul,Renato Soru,Jordi Turull,Gaston Flosse,Ignazio Cassis,Taro Kono,Robert Zoellick,Sally Jewell,Satya Nadella,Norm Kelly,Dimitrij Rupel,Giancarlo Galan,Mark Rutte,Marko Mihkelson,Richard Blumenthal,Vitaliy Masol,Roland Koch,Edward Snowden,Grace Kelly,Harri Holkeri,Microsoft,Rick Scott
Hans van den Broek	Hans van den Broek,Hans Hillen,Angela Merkel,Tanya Plibersek,Mary Landrieu,F. W. de Klerk,Lars Barfoed,Jan Pronk,C. Boyden Gray,Hugo Banzer,Roman Herzog,Santiago Creel,Raymond Barre,Hans Blix,Duncan Kerr,Barney Frank,Anthony G. Brown,Kate Brown,Gavin Newsom,Nancy Pelosi,Hanno Pevkur,Hannelore Kraft,Jang Song-thaek,Candice Bergen,David Ben-Gurion,Hassan II of Morocco,Canadian Army,Hassan Rouhani,Osama bin Laden,Hassanal Bolkiah,Ramzan Kadyrov,Canadian Armed Forces,Henrik,Frank Jensen,Fernando Flores,African Union,Roland Koch,Cape Verde,Montenegro,Lionel Bowen,Carles Puigdemont,Valentin Inzko,Allan Rock,Alexander Stubb,John Linder,Hans-Rudolf Merz,Josh Frydenberg,Marek Jurek,Greg Walden,Ben Cardin
University of the Philippines	University of the Philippines,University of Chile,University of Buenos Aires,University of Cape Town,University of New Brunswick,University of Sussex,University of Waterloo,University of Ottawa,Monarchy of the United Kingdom,Union of Right Forces,Brigitte Zypries,Aristotelis Pavlidis,United Arab Emirates,Security Service of Ukraine,Amnesty International,William Luther Pierce,Dominique de Villepin,Christos Stylianides,Peter Phillips,Anastasios Peponis,Order of the Holy Sepulchre,United States Virgin Islands,Secretary of State for Justice,Radical Party of the Left,United Nations,Riitta Uosukainen,Edith Schippers,Paavo Lipponen,Piet Hein Donner,Serikbolsyn Abdildin,Oliver Letwin,Nicole Ameline,Anders Samuelsen,Serhiy Tihipko,Kirsten Gillibrand,Panagiotis Beglitis,Beverley Hughes,Robert J. Bentley,Evripidis Stylianidis,Margaritis Schinas,American University of Beirut,Church of Greece,Workers%27 Party of Korea,Loyola de Palacio,Saint Kitts and Nevis,Yerevan State University,Memorial University of Newfoundland,Gyanendra of Nepal,Alberto Fujimori,Uri Rosenthal
Joseph-Désiré Mobutu	Joseph Estrada,Joseph Muscat,Joseph Stalin,Joseph Ki-Zerbo,Joseph Stiglitz,Joseph Prueher,Joachim Gauck,Josef Lux,John E. Sununu,Jean-David Levitte,Josh Frydenberg,Jerry Moran,Josep Piqu%C3%A9,Jes%C3%BAs Posada,Justicialist Party,Jean Spautz,Joe Crowley,Stephen Solarz,Ernest Moniz,Dick Marty,John Kufuor,John Danforth,Howard Coble,Jim Molan,Kenji Goto,Roberta Pinotti,Fidel Castro,Lothar Bisky,Jean-Louis Tauran,Dipu Moni,PepsiCo,John Brumby,Lauch Faircloth,Josef Pr%C3%B6ll,Robert Mugabe,Theresa May,Javier Solana,Jos%C3%A9 Mujica,Jos%C3%A9 Bono,Jochen Borchert,Jean-Pierre Soisson,Jordi Turull,Serhiy Arbuzov,Narendra Modi,Mahathir Mohamad,Le Point,Jacques Chirac,Johannes Hahn,John Warner,Peter Cosgrove
François Patriat	Fran%C3%A7ois Patriat,Francis Maude,Marisa Matias,Jean-Louis Tauran,Finns Party,Charles Pasqua,France Cukjati,Gianni Letta,Longin Pastusiak,Carlos Santana,Sanna Marin,Jane Harman,Antonis Samaras,Fareed Zakaria,Cantabria,Hamid Karzai,Alain Berset,Jean Charest,Bruno Le Maire,Marie Bashir,Jaume Matas,Raymond Barre,Dennis Daugaard,James Florio,Jan Pronk,Anwar Sadat,Fernando Flores,Marco Maciel,Jean Schmidt,Ignazio Cassis,Hans Blix,Frank Swaelen,Hanno Pevkur,French Army,Frans Timmermans,Frank Jensen,Fulgencio Batista,Vladimir Markin,Yair Lapid,Franz Vranitzky,Wangari Maathai,Spanish Army,Valdis Birkavs,Ian Paisley,Marion Barry,French Navy,Uri Rosenthal,Carlos Slim,Taslima Nasrin,Rand Paul
Ben Cardin	Ben Cardin,Benin,Tom Carper,Dan Boren,Jay Carney,Mel Carnahan,Ron Wyden,Ken Starr,Jean Charest,Paul Martin,Jane Harman,Greg Walden,Sanna Marin,Dan Burton,Abu Darda,Henrik,Andrew Card,Jan Pronk,Dan Tichon,Jim Saxton,Uzi Landau,Guido Carli,Rein Lang,John Dawkins,John Warner,Noel Davern,Brian Cowen,Rumen Radev,Rick Larsen,Mary Fallin,Leo Varadkar,Ivan Rybkin,Bernd Lange,Tim Holden,Pedro Carmona,Pio Laghi,Henk Kamp,Jelko Kacin,Helen Clark,Lazard,Al Green,Bob Taft,Idi Amin,Le Point,Senegal,Bulgaria,Cantabria,Novartis,Meir Dagan,Burundi
Hamid Ansari	Hamid Karzai,David Libai,Aamir Khan,Sajid Javid,Saudi Arabia,Ahmed Galal,L. K. Advani,Tariq Aziz,David Johnston,Kiran Desai,Sardinia,David Dinkins,David Ige,Yash Ghai,Sanna Marin,David L. Aaron,Guido Carli,Andrus Ansip,Harald Kujat,Nancy Pelosi,Sam Johnson,Rand Paul,David Vitter,Fidel Castro,Fareed Zakaria,James Florio,Mart Laar,Javier Solana,Madagascar,David Ben-Gurion,Amy Adams,Marie Bashir,Helen Clark,Harri Holkeri,Yair Lapid,Fidesz,David Dreier,Pakistan,Tajikistan,Madrid,Mauritania,Honduras,Romania,Ali Abbasov,Vietnam,Salman Khan,Mohammad Hamid Ansari,Taiwan,Henrik,Edi Rama
Anders Fogh Rasmussen	Anders Fogh Rasmussen,Anders Samuelsen,Andrew Lansley,University of Sussex,Andreas Loverdos,Ernesto Samper,Andris Piebalgs,Artur Rasizade,Andrew Robathan,Anke Fuchs,Andrus Ansip,Arlene Foster,Lars L%C3%B8kke Rasmussen,Andranik Margaryan,United Russia,The Bahamas,Anson Chan,Peter Cosgrove,Vern Buchanan,Ole von Beust,Dieter Althaus,Werner Faymann,Greg Walden,Andrew Card,Fred Thompson,Afghanistan,Pedro Carmona,Rodrigo Rato,Urho Kekkonen,Federico Lombardi,Robert E. Cramer,Gaston Flosse,Anne McLellan,Yves Cochet,Steve Rothman,Laurent Fabius,Celso Lafer,Karolos Papoulias,Antanas Mockus,Inner Mongolia,Anna Fotyga,Edelgard Bulmahn,Sherry Rehman,Mintimer Shaimiev,Gilles de Robien,Angela Merkel,Quamrul Hassan,Alfredo Barnechea,Andriy Sadovyi,Fidel Castro
Nokia	Nokia,Nokia,Russia,Estonia,Slovakia,Spain,Romania,Audi,Sony,Latvia,Nauru,Boeing,Benin,IBM,Libya,Fiji,Tuva,Kadima,Guyana,Madrid,Iran,Taiwan,Pakistan,Cisco,Google,UNICEF,Wales,Smile,Sicily,Madeira,Henrik,Guam,Shas,Gabon,HSBC,Sufism,Novartis,Palau,Fidesz,Iceland,Honduras,Ukraine,Greece,Napoleon,Portugal,Bulgaria,Israel,Vietnam,Belgium,Airbus
Bobby Jindal	Bobby Jindal,John Linder,Bob Menendez,Hu Jintao,Bob Graham,Bob Dole,Tom Udall,Sally Jewell,Sonny Perdue,South Sudan,Bob Taft,Uzi Landau,Abu Darda,Boeing,Buryatia,Ron Wyden,Tommy Lapid,Ahmed Galal,Jerry Moran,David Libai,Ben Cardin,Todd Akin,Rob Andrews,Bill Ritter,Frank Jensen,Donna Shalala,Paul Biya,Gabi Zimmer,Albio Sires,Siv Jensen,Arne Duncan,Anwar Sadat,Robin Hayes,Kit Bond,Eliot Engel,Gough Whitlam,Helen Liddell,Amy Adams,Cory Booker,Borut Pahor,South Korea,Libya,Bernd Lange,Jordi Turull,Anne Hidalgo,Patty Murray,Joyce Quin,Vlad Filat,Robin Cook,EH Bildu
Estonia	Estonia,Romania,Latvia,Catalonia,Nokia,Nokia,Lithuania,Russia,Eswatini,Guyana,Sardinia,Benin,Gabon,Eritrea,Slovakia,Vietnam,Bulgaria,Israel,Iran,Sony,Spain,Argentina,Mauritania,Peronism,Madrid,Burundi,Madeira,France,Morocco,Libya,Brunei,Fiji,Tatars,Audi,Buryatia,Lesotho,Iceland,Ukraine,Henrik,Belgium,Google,Portugal,Taiwan,Tuva,Honduras,Comoros,Greece,Boeing,Pakistan,Cantabria
Alfredo Pérez Rubalcaba	Alfredo P%C3%A9rez Rubalcaba,Alfredo Barnechea,Andrew Robathan,Alfred Sant,Andris Piebalgs,Alfonso Guerra,Ahmed Galal,Javier Solana,Andrew Powell,Glenn Greenwald,Alexander Stubb,Alexander Ankvab,Arne Duncan,Karel De Gucht,Karolos Papoulias,Edelgard Bulmahn,United Russia,Pedro Carmona,Carlos Santana,Tarek William Saab,Mario Barletta,Alberto Fujimori,Andrew Card,Elena Salgado,Salvatore Cuffaro,Javier Diez Canseco,George Habash,Artur Rasizade,Angelo Scola,Iberian Peninsula,Antonio Brancaccio,Oscar Luigi Scalfaro,Aldo Giordano,Jordi Turull,Albio Sires,Indrek Tarand,Fredrik Reinfeldt,Andrew Lansley,Prem Tinsulanonda,Rosen Plevneliev,Omar Abdel-Rahman,Catherine Tasca,Adobe Inc.,Gilles de Robien,Bruno Le Maire,Mikhail Gorbachev,Petro Poroshenko,Anne McLellan,Alexander Dzasokhov,Olene Walker
John Boehner	John Boehner,John Warner,John Linder,Jon Tester,John Tsang,John Key,John Kufuor,John Brumby,John Sarbanes,Cory Booker,Jochen Borchert,Rick Boucher,John R. Allen,Tom Steyer,John Redwood,Jan Kohout,John F. Tierney,John Abizaid,Don Young,Dean Heller,Dan Boren,Tony Blair,John Dawkins,Juan Lozano,Holy See,Vern Buchanan,Montenegro,John E. Sununu,John Danforth,Mark Warner,Boeing,Jim Doyle,Joe Crowley,Gwen Moore,Hugo Banzer,Roman Herzog,Bram Peper,Jay Carney,Eric Holder,Joseph Prueher,Jim Molan,Jan Pronk,Emma Bonino,Mario Blejer,Tom Carper,Jerry Weller,Edwin Feulner,Kit Bond,Urho Kekkonen,Moshe Arens
Mohiuddin Khan Alamgir	Muhiuddin Khan Alamgir,Jalaluddin Haqqani,Mehdi Bazargan,Moza bint Nasser,Giuliano Amato,Hamid Karzai,Gough Whitlam,Morgan Tsvangirai,Bidzina Ivanishvili,Volodymyr Khandohiy,Michael Spindelegger,Manfred Kanther,Lord Chancellor,Christina Romer,John Tsang,Nikitas Kaklamanis,Jacqueline Cramer,Canadian Army,John R. Allen,Amanullah Khan,Yahya Khan,Aamir Khan,Mahathir Mohamad,Ashraf Ghani,Mohammad-Ali Rajai,Mohammad Hamid Ansari,Abdurrahman Wahid,Tamim bin Hamad Al Thani,Khalid bin Sultan Al Saud,Mohammad Reza Pahlavi,Salman Khan,Ahmed Galal,John Abizaid,Anil Kakodkar,Thierry Mariani,Idi Amin,Ehud Olmert,Reinhard Klimmt,Joaqu%C3%ADn Balaguer,Marie Bashir,Viktor Basargin,Chadli Bendjedid,Makiko Tanaka,John Kufuor,Marilies Flemming,Edwin Feulner,Yehudah Glick,Shulamit Aloni,Guido Carli,Ehud Barak
Sir Michael Boyce	T. Michael Moseley,Michael Flynn,Michael Howard,Jean-Michel Baylet,Michael Fallon,Michael E. Ryan,Michael Bloomberg,Michel Barnier,Michel Mercier,Lionel Bowen,Rob Nicholson,Bill Richardson,Mikhail Gorbachev,Michael Dukakis,Shaul Mofaz,Carla Del Ponte,Marko Mihkelson,R. Nicholas Burns,African Union,Rick Boucher,William Cohen,Bruce George,Tim Fischer,Jim Prentice,Vince Cable,Jim Doyle,Sicily,Lord Chancellor,Eric Holder,Ivor Richard,Babacar Gaye,Brian Cowen,Richard Nixon,Dan Tichon,Paul Biya,Joachim Gauck,Milan Uhde,Werner Hoyer,Sierra Leone,Suriname,Per Unckel,Candice Bergen,Sergey Gaplikov,Lothar Bisky,Boris Nemtsov,Richard Bruton,Miguel Arraes,Violeta Bulc,Deutsche Bahn,Jochen Borchert
Almazbek Atambayev	Almazbek Atambayev,Ali Abbasov,Alexander Dzasokhov,Arab League,Ahmed Galal,Nursultan Nazarbayev,Alu Alkhanov,Alexander Ankvab,Mintimer Shaimiev,Arsen Avakov,Alexander Stubb,Pavel Grachev,Pavel Astakhov,Rumen Radev,Alexander Medvedev,Dariga Nazarbayeva,Isabel Carrasco,Emmanuel Macron,Amy Adams,Saxby Chambliss,Saudi Arabia,Abu Darda,Alexander Lentsov,Alfred Sant,George Habash,Robin Hayes,Babacar Gaye,Spanish Army,Marek Jurek,Mark Warner,Aslan Maskhadov,Lamar Alexander,Tom Steyer,Walter Momper,Ali Abdullah Saleh,Oleg Lobov,Vince Cable,Yevgeny Primakov,Leszek Miller,Jaume Matas,Mikhail Gorbachev,Amr Waked,Ramzan Kadyrov,Nabil Elaraby,Alain Madelin,Indrek Tarand,Alexei Mordashov,Pablo Escobar,Andranik Margaryan,Saken Zhasuzakov
Anne Hidalgo	Anne Hidalgo,Anne McLellan,Ana Palacio,Hans Hillen,Anna Eshoo,Anna Fotyga,Argentina,Senegal,Peter Hintze,Ahmed Galal,Tony Blair,Amy Adams,Arne Duncan,Anke Fuchs,Mike Crapo,Andris Piebalgs,Tom Udall,Alice Rivlin,Aldo Giordano,Fine Gael,Jane Harman,The Bahamas,Anwar Sadat,Arab League,Madeira,EH Bildu,Andrus Ansip,Ed Balls,Rein Lang,Boeing,Anson Chan,Mauno Koivisto,Roman Herzog,Sanna Marin,Abu Darda,Joe Crowley,Mike Simpson,Andrew Card,Andrew Powell,Beppe Grillo,Angela Merkel,Olene Walker,Ken Starr,Inner Mongolia,Rand Paul,David Ige,Vince Cable,Ali Abbasov,Dan Tichon,Eli Lilly
