Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Adolfo Aguilar Zínser	Rosa Aguilar,Ali Abdullah Saleh,Emilio Eduardo Massera,Adolfo Rodríguez Saá,John Warner,Carlo Azeglio Ciampi,Rudolf Seiters,Odilo Scherer,Aldo Giordano,Pedro Aguirre Cerda,Edwin Feulner,Rudolf Scharping,Angela Merkel,Rudolf Hundstorfer,Wolfgang Tiefensee,Wolfgang Ischinger,Moza bint Nasser,Dov Shilansky,Ilse Aigner,African Union,Hugo Banzer,António Guterres,Carles Puigdemont,Mário Soares,Abdalá Bucaram,Ali Abbasov,Alfredo Barnechea,Arnold Koller,Celso Lafer,Douglas Alexander,José Alencar,Toivo Asmer,Lamar Alexander,Adrian Năstase,Lothar Bisky,Andrus Ansip,Mark Warner,Moshe Arens,Josef Pühringer,Ítalo Argentino Lúder,Alu Alkhanov,Albio Sires,Michel Barnier,John Linder,Carla Del Ponte,Alain Berset,Gonzalo Aguirre Ramírez,Wolfgang Bötsch,Anders Fogh Rasmussen,Adolfo Aguilar Zínser
Secretary of State for Communities and Local Government	Secretary of State for International Development,Secretary of State for Justice (UK),Director of National Intelligence,Party of the Democratic Revolution,Secretary of state,Monarchy of the United Kingdom,Security Service of Ukraine,New York City Police Department,Communist Party of Bohemia and Moravia,International Criminal Court,Yerevan State University,Order of the Holy Sepulchre,Party of Communists of the Republic of Moldova,Jean Corston, Baroness Corston,University of Los Andes (Colombia),Toronto Metropolitan University,Central European University,Central American Bank for Economic Integration,Saint Kitts and Nevis,Central Intelligence Agency,United States Virgin Islands,Saint Vincent and the Grenadines,Syrian Social Nationalist Party,African National Congress,Shanghai Cooperation Organisation,Melanie Schultz van Haegen,Sergei Makarov (ice hockey),Eduardo Brizuela del Moral,Ítalo Argentino Lúder,Alberto Bustamante Belaúnde,University of Buenos Aires,Vooruit (political party),Alliance for the Future of Austria,European Commission,Constitutional Court of Spain,Liberal Democracy of Slovenia,Sovereign Military Order of Malta,Front for Victory,Radio Television of Serbia,Bucharest Academy of Economic Studies,Miriam Defensor Santiago,Communist Party of the Russian Federation,Workers' Party of Korea,Caribbean Community,Moscow State University,Hungarian Democratic Forum,Andrés Bello Catholic University,University of the Philippines,Radical Party of the Left,Secretary of State for Levelling Up, Housing and Communities
Jacques Chirac	Jacques Delors,Jacques Santer,Jacques Cousteau,James Florio,Paul Biya,Jacqueline Cramer,Madeira,Jaume Matas,Luis Cruz,Nuon Chea,Javier Solana,Narcís Serra,Yury Chaika,Jane Harman,Mauritania,Russia,Cape Verde,Daniel Scioli,Paul Ryan,Gabriel Oprea,Jean Charest,Anson Chan,Jerry Moran,Steven Chu,Andrew Card,Yves Cochet,Fidel Castro,Mark Kirk,Yves Guéna,David Libai,Salman Khan,Marek Jurek,Carlos Slim,Jack Lew,Barney Frank,Jay Carney,Andrus Ansip,Mathias Cormann,Mike Crapo,Jack Layton,Paul Simon,Joachim Gauck,Enrique Múgica,Jürgen Ligi,Manuel Valls,Jean-Louis Tauran,Josep Piqué,Jay Weatherill,Hugo Swire,Jacques Chirac
Ken Starr	Tom Steyer,Kevin Brady,Ben Cardin,Rein Lang,Gwen Moore,Jean Spautz,Senegal,Helen Clark,Henk Kamp,Kevin Spacey,Tatars,Kongsberg,Tony Blair,Jon Tester,Don Young,Tom Carper,Tom Udall,John Warner,Kit Bond,Dan Boren,Rand Paul,Dean Heller,Kenji Goto,Ted Poe,Jan Pronk,Edi Rama,Bob Taft,John Tsang,Ron Wyden,Al Gore,Renato Soru,Amy Adams,Henrik,Steny Hoyer,Jean Charest,Kevin Rudd,Søren Gade,Lazard,Meretz,Hugo Swire,Mart Laar,Shas,Fine Gael,Kadima,Gibraltar,Le Point,Abu Darda,Lesotho,Katy Perry,Ken Starr
Alastair Goodlad	Alexandr Vondra,Mahathir Mohamad,François Goulard,Aosta Valley,Anwar Sadat,Aamir Khan,Alain Madelin,Claudia Nolte,Vladimir Voronin,Vladimir Kozhin,Justin Trudeau,Muammar Gaddafi,Yash Ghai,Abu Darda,Satsuki Eda,Ahmed Galal,Yair Lapid,Al Gore,Aldo Giordano,Baltasar Garzón,Jim Molan,Artur Rasizade,Mümtaz Soysal,Tulsi Gabbard,Patricia Scotland,Rosa Aguilar,Anil Kakodkar,Allan Rock,Vlad Filat,Giancarlo Galan,Paymaster General,Péter Polt,Iliana Iotova,Walter Momper,Kristiina Ojuland,Angelo Scola,Victor Ponta,Alain Berset,Anna Fotyga,Cantabria,Vladimir Markin,Gaston Flosse,César Gaviria,Agustín Rossi,François Loos,Academia Sinica,Leonid Gozman,Hasmik Poghosyan,Hassanal Bolkiah,Alastair Goodlad
Ernest Moniz	Estonia,Ernesto Samper,Árpád Göncz,Dipu Moni,Argentina,Peter Hintze,José Bono,Gwen Moore,Werner Hoyer,Emma Bonino,James Florio,Eswatini,Arne Duncan,Tony Blair,Catalonia,Inner Mongolia,Kit Bond,Theresa May,Norbert Hofer,Sanna Marin,Shaul Mofaz,Carlos Menem,Els Borst,Hans Blix,Dagestan,Paweł Kukiz,Hervé Morin,Enda Kenny,Narendra Modi,Lithuania,Mauritania,Pakistan,Herbert Bösch,Vietnam,Lionel Bowen,Rein Lang,Le Point,Port Said,Nancy Pelosi,Andrus Ansip,Herbert Kickl,Victor Ponta,Meretz,Joseph Stalin,Dan Burton,Laurent Fabius,Arnold Koller,Péter Polt,Eric Holder,Ernest Moniz
David Dreier	David Vitter,David Ige,David Dinkins,David Libai,David Emerson,Mario Blejer,David Blunkett,Danny Pieters,Gabi Zimmer,Devin Nunes,Sajid Javid,David L. Aaron,Yair Lapid,Erwin Huber,David Lidington,David Johnston,Patrick Ollier,Eric Holder,Mark Pryor,Marie Bashir,Dan Boren,Tom Steyer,Dave Weldon,Gerd Leers,Bram Peper,Dean Heller,Sergio Diez,Pavel Grachev,Tariq Aziz,Mark Warner,Marco Maciel,Jim Doyle,Paul Reeves,Dale Bumpers,Davit Bakradze,Al Green,Gavin Newsom,Hamid Karzai,Kevin Spacey,Kevin Brady,Madeira,Ruth Dreifuss,John Boehner,John Linder,Moshe Arens,Tom Carper,Joseph Prueher,Odilo Scherer,Arnold Koller,David Dreier
Per Unckel	Peronism,France,Gary Locke,Amr Waked,Tom Udall,Yves Cochet,Ted Poe,Suriname,Marco Maciel,Pedro Solbes,Senegal,Brunei,Cory Booker,Lee Kun-hee,Peter Hintze,Péter Polt,Hans Engell,Ukraine,Mark Binskin,Meretz,Herbert Kickl,Neritan Ceka,Tim Fischer,Henrik,Israel,Eliot Engel,Mark Rutte,Le Point,Greece,Wim Kok,Peter Wittig,Gerd Leers,Bernd Lange,Tom Carper,Tom Steyer,Piet Bukman,Siv Jensen,Portugal,Jerry Weller,Dan Boren,Jack Markell,Dan Tichon,Péter Erdő,Jay Carney,Dean Heller,Paweł Kukiz,Paul Reeves,Olene Walker,Gerrit Zalm,Per Unckel
Iberia	Benin,Nokia,Nokia,Henrik,Latvia,Eritrea,Libya,Fiji,Madrid,Madeira,Tuva,Iran,Russia,Boeing,Audi,Kadima,Meretz,Nauru,Ninja,France,Guam,Palau,Comoros,Wales,Gabon,Spain,Greece,Senegal,Åland,Cantabria,Suriname,Iceland,Chechnya,Dagestan,Brunei,Sicily,Estonia,Cisco,Israel,Romania,Bulgaria,Vietnam,HSBC,Google,Fidesz,Airbus,IBM,Shas,Guyana,Iberian Peninsula
Iceland	Åland,Iran,Israel,Taiwan,Guyana,Benin,Spain,Greece,Belgium,Boeing,Ukraine,Netherlands,Romania,Vietnam,Palau,Lazard,Madrid,IBM,Sicily,Wales,Senegal,Burundi,France,Guam,Libya,Nokia,Nokia,Gabon,Estonia,Henrik,Meretz,Dagestan,Sony,Tatars,Lithuania,Russia,Bulgaria,Tuva,Argentina,Pakistan,Slovakia,Ninja,Smile,Shas,Chechnya,Kit Bond,Sardinia,Napoleon,Madeira,Iceland
Pio Laghi	Guido Carli,Yair Lapid,Meir Dagan,Rein Lang,Pietro Lunardi,Celso Lafer,Uzi Landau,Ben Cardin,David Libai,Jim Risch,Marie Bashir,Pál Vastagh,Paulo Maluf,Mart Laar,Jim Saxton,Edi Rama,Zhu Rongji,Dipu Moni,Eliot Engel,Wim Kok,Bill Gates,Rick Larsen,Dick Marty,Paul Martin,Ed Balls,Kit Bond,Fine Gael,Jim Molan,Eli Lilly,Palau,Libya,Chuvashia,Jim Doyle,Abu Darda,Amr Waked,Novartis,Bob Taft,Google,Nokia,Nokia,Fiji,Boeing,Lionsgate,Portugal,Port Said,Ninja,Latvia,Fulvio Rossi,Jürgen Ligi,Pio Laghi
Ana Palacio	Ana Brnabić,Tony Blair,Anne Hidalgo,Elena Salgado,Catalonia,Anna Eshoo,Nancy Pelosi,Palau,Anwar Sadat,The Bahamas,Arab League,Mauritania,Sanna Marin,Edi Rama,Ed Balls,Amy Adams,Cantabria,Ahmed Galal,Abu Darda,Ali Abbasov,Mary Fallin,Juan Lozano,Anna Fotyga,Loyola de Palacio,Madagascar,Anke Fuchs,Aosta Valley,Vlad Filat,Ben Cardin,Andrus Ansip,Arne Duncan,Denny Tamaki,Kakha Kaladze,Rand Paul,GSK plc,Jim Molan,Jelko Kacin,Alain Madelin,Donna Shalala,Amr Waked,Yair Lapid,Ian Paisley,Napoleon,Pio Laghi,Bojan Pajtić,Madrid,Roh Tae-woo,Hans Blix,Guyana,Ana Palacio
Edelgard Bulmahn	Piet Bukman,Edward Snowden,Elena Salgado,Werner Faymann,Vern Buchanan,Vlad Filat,Richard Branson,Richard Bruton,Sherry Rehman,Melissa Bean,Leonid Gozman,Milan Kučan,Reinhard Klimmt,Karen Ellemann,Edi Rama,Violeta Bulc,Gerald Klug,Eliane Karp,Mary Fallin,Mathias Cormann,Richard Caborn,Harald Kujat,Jane Harman,Mel Carnahan,Ed van Thijn,Ed Balls,Renaud Dutreil,Mark Binskin,Gérard Collomb,Aleksandar Vulin,Wolfgang Bötsch,Helen Clark,Richard Dannatt,Edmund Szoka,Giancarlo Galan,Deutsche Bahn,Ehud Olmert,Herbert Bösch,Greg Walden,Ryszard Kalisz,Roland Koch,Norm Coleman,Oleksandr Kuzmuk,Giuliano Amato,Meir Dagan,Petar Gračanin,Dan Burton,Ehud Barak,Richard Nixon,Edelgard Bulmahn
Irina Yarovaya	Iliana Iotova,Corina Casanova,Andriy Sadovyi,Anna Fotyga,Ivan Safronov,Donna Shalala,Marisa Matias,Elena Salgado,Sanna Marin,Greta Garbo,Heizō Takenaka,Eric Garcetti,Jane Harman,Mario Barletta,Éric Raoult,Marion Barry,Ian Paisley,Dick Marty,Babacar Gaye,French Navy,Finns Party,Dariga Nazarbayeva,Ana Brnabić,Ali Abbasov,Artur Rasizade,Tigran Torosyan,Okiharu Yasuoka,Irene Pivetti,Arsen Avakov,Mircea Geoană,Ana Palacio,Eliane Karp,Susana Malcorra,Alina Fernández,Anna Eshoo,Edi Rama,Uzi Landau,Monika Harms,Cristina Garmendia,Susana Martinez,Lisa Murkowski,Satya Nadella,Makiko Tanaka,Tanja Fajon,Rein Lang,Patty Murray,Indrek Tarand,Burkina Faso,Guido Carli,Irina Yarovaya
George Weah	George Habash,George Shultz,Greece,Peter Welch,George Osborne,Google,Gerd Leers,Gerrit Braks,Gerrit Zalm,Holy See,Portugal,Argentina,Port Said,Meretz,Norm Kelly,Pierre Werner,Geoff Davis,Jerry Moran,Jerry Lewis,John Key,Tony Blair,Hezbollah,Senegal,Melissa Bean,Gabriel Oprea,Kongsberg,George Radanovich,Jerry Weller,Grace Kelly,Theresa May,Gibraltar,Jürgen Ligi,Jorge Illueca,Gerald Klug,Moshe Arens,Gábor Vona,Sergio Diez,Kiran Desai,Nuon Chea,Mart Laar,Joyce Quin,Leire Pajín,Eritrea,Borut Pahor,George Voinovich,Dagestan,Adobe Inc.,Meir Dagan,Gough Whitlam,George Weah
Arnold Koller	Eric Holder,Arlene Foster,Werner Hoyer,Howard Coble,Gerald Klug,Bob Dole,Raymond Kelly,Jerry Weller,Hans Hillen,Leszek Miller,Dean Heller,Al Gore,Anil Kakodkar,Cory Booker,Norm Kelly,Aosta Valley,Grace Kelly,Walter Kasper,John Boehner,Roland Koch,John Linder,Norbert Hofer,Tom Steyer,Erwin Huber,John Kufuor,Rudolf Seiters,Hugo Banzer,Walter Momper,Jan Kohout,Willy Claes,Ernest Moniz,Tom Carper,László Kövér,Mario Blejer,Harald Kujat,Steny Hoyer,Bram Peper,Manfred Kanther,Angelo Scola,Taro Kono,David Vitter,David Dreier,Bernd Lange,Ernesto Samper,Duncan Kerr,Manuel Valls,Bill Ritter,Tim Holden,Gérard Collomb,Arnold Koller
Nick Raynsford	Rick Santorum,Jim Ramstad,Rick Larsen,Eric Cantor,Jack Layton,John Danforth,Mark Dayton,Rick Scott,Mark Pryor,Rick Boucher,Mark Warner,Dick Celeste,Lars Barfoed,Eiki Nestor,Dick Marty,Nikolay Dobrev,Jim Risch,Mark Binskin,Jim Saxton,Jack Markell,Noel Davern,Mike Simpson,Nigel Evans,Hugo Banzer,John Redwood,Russ Feingold,Bill Gates,Éric Besson,Richard Caborn,Bill Ritter,Nicolás Maduro,Sam Johnson,Siv Jensen,Éric Raoult,John Warner,Kit Bond,Dick Spring,Michael Howard,Chuck Robb,Ivor Richard,Michel Barnier,Harrison Ford,Mitch Landrieu,José Ramos-Horta,Microsoft,Jim Bunning,Chuck Grassley,Dan Boren,John Linder,Nick Raynsford
Kiro Gligorov	Yury Luzhkov,Igor Klimov,Taro Kono,Keiko Fujimori,Boris Nemtsov,Karim Massimov,Eiki Nestor,Lionel Bowen,Mark Kirk,Nikolay Dobrev,Mike Simpson,Raúl Rivero,Alu Alkhanov,Kenji Goto,Dmitry Livanov,Urho Kekkonen,Oleg Lobov,Mário Soares,Mario Blejer,Ivan Safronov,Kit Bond,Kirk Fordice,Al Gore,Fidel Castro,Mark Pryor,Hage Geingob,Hugo Swire,Tony Blair,Siiri Oviir,Hillary Clinton,Aldo Giordano,Napoleon,Comoros,Jörg Haider,Pio Laghi,Rick Santorum,Bulgaria,Montenegro,Port Said,José Bono,Ali Abbasov,Michael Kocáb,Mark Binskin,Tim Fischer,Sergey Gaplikov,Toivo Asmer,Dick Marty,Lars Barfoed,Gary Locke,Kiro Gligorov
Johann Schneider-Ammann	Jens Weidmann,Johannes Hahn,Jean Schmidt,John Karefa-Smart,John Linder,Joe Lieberman,Franz Müntefering,John Warner,John Boehner,John Sarbanes,John F. Tierney,Jang Song-thaek,Frans Timmermans,Jane Harman,Javier Solana,Mathias Cormann,Joachim Gauck,Jean Asselborn,Roman Herzog,John Redwood,Yoani Sánchez,José E. Serrano,Karen Ellemann,John Tsang,John R. Allen,Frank Swaelen,John Danforth,Johannes Voggenhuber,Odilo Scherer,John Abizaid,Edward Snowden,John Brumby,Ulla Schmidt,Juan Almeida Bosque,John Dawkins,Connie Hedegaard,Eberhard van der Laan,Joseph Stalin,Juan Antonio Samaranch,Mohammad Hamid Ansari,Jon Tester,Thad Cochran,Candice Bergen,Michel Suleiman,Luis Echeverría,Soraya Sáenz de Santamaría,Omar Abdel-Rahman,Charles University,Josef Pühringer,Johann Schneider-Ammann
Lithuania	Estonia,Romania,Latvia,Catalonia,Russia,Slovakia,Bulgaria,Guyana,Mauritania,Sardinia,Libya,Buryatia,Netherlands,Iceland,Iran,Libération,Spain,Taiwan,Vietnam,Ninja,Lê Duẩn,Chuvashia,Kit Bond,L'Humanité,Afghanistan,Lech Wałęsa,Burundi,France,Benin,Gibraltar,Port Said,Guam,Fiji,Brunei,Nokia,Nokia,Le Point,Ukraine,Portugal,Audi,Tatars,Eritrea,Airbus,Eswatini,Israel,Pakistan,United Russia,Cantabria,Argentina,Lithuania
Betty Boothroyd	Patty Murray,Jerry Brown,Cory Booker,Peter Cosgrove,Petro Poroshenko,Kate Brown,Pete Peterson,Katy Perry,Jerry Moran,Tony Blair,Terry Branstad,Kit Bond,Peter Hintze,Kenji Goto,Lesotho,Fidel Castro,Boris Nemtsov,Boyko Borisov,Yury Luzhkov,Gwen Moore,Julie Bishop,Nancy Pelosi,Emma Bonino,Dan Burton,Peter Welch,Doris Leuthard,Ken Starr,Pat Buchanan,Vern Buchanan,Bill Ritter,Bruce George,Beppe Grillo,Lars Barfoed,South Korea,Penny Pritzker,José Bono,Bill Bradley,Kevin Brady,Jay Weatherill,Dieter Althaus,Jerry Weller,Ben Cardin,Péter Polt,Dan Boren,Hervé Morin,Jan Kohout,Rick Boucher,Els Borst,Steve Rothman,Betty Boothroyd
Gavin Newsom	David Emerson,Éric Besson,Devin Nunes,Dave Weldon,Göran Persson,Alain Berset,Eiki Nestor,Robin Cook,David Vitter,Jack Lew,Gaston Flosse,Poul Nielson,Kevin Brady,John Redwood,Boris Nemtsov,Sally Jewell,David Johnston,Kevin Rudd,David Ige,Martin Bursík,Marine Le Pen,Gabi Zimmer,David Libai,Kiran Desai,Dan Tichon,David Dreier,Siv Jensen,Kevin Spacey,Dan Burton,Gazprom,Chaim Herzog,Roman Herzog,Brian Cowen,Rob Andrews,David Dinkins,Robin Hayes,Jim Saxton,John Key,Jim Risch,Jan Pronk,Paul Reeves,Rein Lang,Jack Layton,Julie Bishop,Gun Hellsvik,Ian Paisley,Sam Johnson,Taro Kono,Eric Cantor,Gavin Newsom
Chaudhry Mohammad Sarwar	Shankar Dayal Sharma,Mahathir Mohamad,Abdus Samad Azad,Carlos Holguín Sardi,Javier González Garza,Bharatiya Janata Party,Mohammad Hamid Ansari,Muhiuddin Khan Alamgir,Abdurrahman Wahid,Mohammad Beheshti,Novruz Mammadov,Hamid Karzai,Mohammad-Ali Rajai,Tarek William Saab,Shaul Mofaz,Wangari Maathai,Thad Cochran,Jadranka Kosor,Chatichai Choonhavan,Ehud Barak,Muammar Gaddafi,Sherry Rehman,Shintaro Ishihara,Jerry Moran,Yury Chaika,Władysław Stasiak,Thierry Mariani,Mary Landrieu,Carol Moseley Braun,Barbara Prammer,Walter Momper,Charlie Baker,Raymond Barre,Carlos Santana,Canadian Armed Forces,Fareed Zakaria,Mehdi Bazargan,Yahya Khan,Quamrul Hassan,Khushwant Singh,Yusuf al-Qaradawi,Kōichirō Matsuura,Mümtaz Soysal,Taha Yassin Ramadan,Zviad Gamsakhurdia,Anand Satyanand,Andranik Margaryan,Ahmed Galal,Saxby Chambliss,Chaudhry Mohammad Sarwar
Avijit Roy	Kenji Goto,Allan Rock,Kit Bond,Wim Kok,Fiji,Sicily,Dipu Moni,Aamir Khan,Edi Rama,David Ige,Ted Poe,Ludwik Dorn,Al Gore,Fulvio Rossi,Robin Cook,Ali Abbasov,Chuck Robb,John Key,Anna Eshoo,Jim Doyle,Gerrit Zalm,Hu Jintao,Kevin Brady,Eritrea,Cisco,Kevin Rudd,Eli Lilly,Lesotho,Mauritius,PepsiCo,Audi,Airbus,Jyoti Basu,Amartya Sen,Tariq Aziz,Dan Tichon,David Vitter,Anson Chan,David Libai,Steven Chu,Alice Rivlin,Jim Risch,Steny Hoyer,Devin Nunes,Borut Pahor,Taro Kono,Jay Carney,Dave Weldon,Alain Juppé,Avijit Roy
Wilhelm Molterer	Walter Momper,Michel Mercier,William Cohen,Bill Ritter,Willy Claes,Michel Barnier,Angela Merkel,Arlene Foster,Fidel Castro,Arnold Koller,Laurenz Meyer,Werner Hoyer,Lionel Bowen,Walter Kasper,Allan H. Meltzer,Tom Steyer,Leszek Miller,Odilo Scherer,Gwen Moore,Bill Gates,Tim Holden,Olene Walker,Pascale Bruderer,Jim Molan,Bill Shorten,Fleur Pellerin,Michael Howard,Michel Suleiman,Pierre Werner,T. Michael Moseley,Dieter Althaus,Norbert Röttgen,Rudolf Seiters,Norbert Lammert,Bram Peper,Tim Fischer,Péter Polt,Stephen Solarz,Peter Hintze,Norbert Hofer,Joseph Prueher,Ken Starr,Eric Holder,Michael Kocáb,Norm Coleman,Guillermo Ramírez,Mikhail Margelov,Bill Young,Michael Flynn,Wilhelm Molterer
Academia Sinica	Khaleda Zia,Amartya Sen,Adrian Smith,Hindi cinema,Telefónica,Albio Sires,Emma Bonino,Catalonia,David Dinkins,Takeshi Onaga,Angelo Scola,Alfred Sant,Lamberto Dini,Arne Duncan,Madeira,Vladimir Voronin,Vladimir Kozhin,Vladimir Markin,Aamir Khan,Apple Inc.,Adobe Inc.,Sardinia,Bank of America,Marisa Matias,Fianna Fáil,Eswatini,Ana Brnabić,L'Humanité,Sanna Marin,Ana Palacio,Khakassia,Catherine Tasca,Violeta Bulc,Eli Suissa,Madagascar,Mary Fallin,Sadako Ogata,Narcís Serra,Tariq Aziz,Enrique Múgica,Yair Lapid,Edi Rama,Alice Rivlin,Jim Risch,Carlos Santana,Kadima,Makiko Tanaka,Antonio Inoki,Argentina,Academia Sinica
Charles J. Melancon	Charles Pasqua,Carlos Menem,Charles University,Carlos Santana,Karen Ellemann,Carles Puigdemont,Chantal Jouanno,Chelsea Manning,Pavlos Geroulanos,David L. Aaron,Allan H. Meltzer,Lawrence Cannon,Charlie Baker,Dave Weldon,Carlos Slim,Chris Grayling,Marko Mihkelson,Carlos Tevez,Theresa May,Carla Del Ponte,Timothy J. Keating,Michael E. Ryan,Stephen F. Lynch,James Langevin,Marcus Stephen,Melissa Bean,James Florio,José E. Serrano,Paul Martin,Lyndon B. Johnson,Douglas Alexander,Barney Frank,Richard Branson,Sam Johnson,Ernest Moniz,Marek Jurek,Chris Murphy,Mark Dayton,Mircea Geoană,Tarcisio Bertone,Carolyn McCarthy,Pascal Canfin,Johannes Hahn,Catherine Ashton,Frank Jensen,Gladys Marín,Shaul Mofaz,Arne Duncan,Phil Robertson,Charlie Melançon
Jaume Matas Palou	Valentin Pavlov,Paulo Maluf,Jair Bolsonaro,Jim Ramstad,Saken Zhasuzakov,James Florio,Pasqual Maragall,Karim Massimov,Jack Markell,Aslan Maskhadov,Jane Harman,Moderate Party,Laurent Fabius,Marisa Matias,Babacar Gaye,Renato Soru,Charles Pasqua,Marco Maciel,Marat Tajin,Jim Molan,Violeta Bulc,Redha Malek,Tanja Fajon,Borut Pahor,Manuel Valls,James Langevin,Juan Lozano,Jadranka Kosor,Don Manzullo,Puerto Rico,Jyoti Basu,Marie Bashir,Ahmed Galal,Kaushik Basu,Takeaki Matsumoto,Rumen Radev,Janez Stanovnik,Jacques Cousteau,Sam Johnson,Paul Martin,Lauch Faircloth,Jim Saxton,Marietta Giannakou,Paul Otto,Gerrit Zalm,Chuck Grassley,Jay Weatherill,Mark Pryor,Julie Bishop,Jaume Matas
Hans-Jürgen Papier	Jürgen Ligi,Hans-Rudolf Merz,Manfred Kanther,Jörg Haider,Hans van den Broek,Hans-Gert Pöttering,Bram Peper,Hans Hillen,Walter Kasper,Hartmut Bagger,Barbara Prammer,Hans Blix,Hans Engell,Patrick Ollier,Laurenz Meyer,Hans Hækkerup,David Dreier,Jacques Santer,Hugo Banzer,Jørgen Kosmo,Søren Gade,Hanno Pevkur,Jean-Michel Baylet,Gabriel Oprea,Hannelore Kraft,Anne-Marie Lizin,Marie Bashir,Marco Maciel,Yair Lapid,Mark Warner,Earl Blumenauer,John Warner,Walter Momper,Kaspar Villiger,Erwin Huber,Werner Hoyer,Borut Pahor,Celso Lafer,Danny Pieters,Laurent Fabius,Marek Jurek,Mario Blejer,Ernesto Samper,Frank Jensen,Pierre Werner,Patrick Mayhew,Leszek Miller,John Linder,Marisa Matias,Hans-Jürgen Papier
General Electric	General Motors,Central America,Meir Sheetrit,Peter DeFazio,Gerald Klug,Peter Wittig,Peter Hintze,Gerd Leers,Fidel Castro,Ze'ev Elkin,Senegal,Inner Mongolia,Gibraltar,Bank of America,Sanna Marin,Duncan Kerr,Peter Welch,Roberta Pinotti,Olene Walker,Bram Peper,Dean Heller,George Osborne,James Florio,Péter Erdő,Jerry Lewis,Andrus Ansip,Oliver Letwin,Mario Blejer,Ana Palacio,Gun Hellsvik,Irene Pivetti,Nandan Nilekani,Arab League,Fleur Pellerin,Pavel Tigrid,George Weah,Kiran Desai,Helen Clark,Göran Persson,Werner Hoyer,Greece,Nancy Pelosi,Cape Verde,Hervé Morin,Robert Zoellick,Tony Blair,George Shultz,Henry McLeish,Renaud Dutreil,General Electric
Akhmetzhan Yesimov	Akhmad Kadyrov,Ramzan Kadyrov,Murtaza Rakhimov,Arsen Avakov,Umar Dzhabrailov,Alu Alkhanov,Ahmet Davutoğlu,Karim Massimov,Süleyman Demirel,Srgjan Kerim,Sheikh Hasina,Jørgen Kosmo,James Langevin,Aslan Maskhadov,Ali Abbasov,Ashraf Ghani,Alexander Lentsov,Alexei Mordashov,Okiharu Yasuoka,Abdurrahman Wahid,Serhiy Arbuzov,Roman Herzog,Rumen Radev,Tatyana Golikova,Mikhail Margelov,Mahathir Mohamad,Vladimir Yegorov,Anna Eshoo,Sergey Gaplikov,Reinhard Klimmt,Christian Estrosi,Sherry Rehman,Dzhokhar Dudayev,Igor Klimov,Emma Bonino,Édith Cresson,Ahmed Galal,Adrian Năstase,Peter Cosgrove,Amartya Sen,Alberto Fujimori,Dmitry Livanov,Andrew Lansley,Valentin Pavlov,African Union,Neritan Ceka,Ahn Cheol-soo,Göran Persson,Kiran Desai,Akhmedjan Essimov
Duncan Kerr	Srgjan Kerim,Douglas Hurd,John Key,Enda Kenny,Dean Heller,Narcís Serra,Dan Boren,Eliane Karp,Salman Khan,Stavanger,Mark Kirk,Allan Rock,Roland Koch,Dick Marty,Ken Starr,Dan Burton,Jack Lew,France,Marion Barry,Suriname,Hugo Banzer,Renato Soru,Anson Chan,Milan Uhde,Bram Peper,Grace Kelly,Jon Tester,Don Manzullo,Nuon Chea,Sanna Marin,Milan Kučan,Ludwik Dorn,Katy Perry,Bogdan Klich,Yahya Khan,Henk Kamp,Neritan Ceka,Kongsberg,Kiran Desai,Ian Paisley,Dick Spring,Steven Chu,Göran Persson,John Linder,Tom Carper,Rand Paul,John Warner,Brian Cowen,Vince Cable,Duncan Kerr
Norbert Hofer	Norbert Blüm,Werner Hoyer,Norbert Lammert,Steny Hoyer,Herbert Kickl,Herbert Bösch,Norbert Röttgen,Walter Momper,Erwin Huber,Umberto Bossi,Bob Dole,Borut Pahor,Noel Davern,Harri Holkeri,Ernest Moniz,Robert Mugabe,Arlene Foster,Eric Holder,Robin Hayes,Cory Booker,Jörg Haider,Walter Kasper,Robert Zoellick,Gerd Leers,Hartmut Bagger,Arnold Koller,Howard Coble,Jerry Weller,Brian Cowen,Celso Lafer,Bram Peper,Søren Gade,Barbara Prammer,Gábor Vona,Péter Polt,Ernesto Samper,Tom Steyer,Laurenz Meyer,Jon Tester,Jerry Moran,Lamberto Dini,Jørgen Kosmo,Mart Laar,Narendra Modi,Norm Coleman,Toivo Asmer,Ted Poe,Robin Cook,Marek Jurek,Norbert Hofer
